Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-02 00:00:00-05:00,48.91830498217535,49.6164801874092,48.808067529640624,49.59811019897461,673600,0.0,0.0
2015-03-03 00:00:00-05:00,49.331689220518456,49.671590003765,49.15714282838765,49.57053756713867,1005100,0.0,0.0
2015-03-04 00:00:00-05:00,49.285762315966906,49.542984177899754,48.7988735716704,49.05609893798828,548900,0.0,0.0
2015-03-05 00:00:00-05:00,49.1847111348417,49.340880553781744,48.88155378600261,49.29494857788086,451700,0.0,0.0
2015-03-06 00:00:00-05:00,49.18470432369569,50.0941692354991,49.18470432369569,49.41436767578125,700700,0.0,0.0
2015-03-09 00:00:00-04:00,49.38679860151713,49.77263479991756,49.23981421745605,49.68077087402344,677200,0.0,0.0
2015-03-10 00:00:00-04:00,49.111189138456574,49.42353130244471,48.88152588565303,48.98257827758789,992900,0.0,0.0
2015-03-11 00:00:00-04:00,49.07446972234299,49.26738962631464,48.91830030488295,49.065284729003906,556100,0.0,0.0
2015-03-12 00:00:00-04:00,49.34087201983405,49.8001987081685,49.120397171888854,49.772640228271484,393200,0.0,0.0
2015-03-13 00:00:00-04:00,49.61646742486393,49.73589334528217,48.79886647879919,49.21226119995117,624900,0.0,0.0
2015-03-16 00:00:00-04:00,49.35923955019793,49.91043361230046,49.2398136444181,49.9012451171875,519000,0.0,0.0
2015-03-17 00:00:00-04:00,49.76345302947056,50.13091579147233,49.561351664315744,50.01148986816406,522900,0.0,0.0
2015-03-18 00:00:00-04:00,49.763440622845756,50.875013623799504,49.763440622845756,50.746402740478516,1190700,0.0,0.0
2015-03-19 00:00:00-04:00,50.78316017997423,50.93014458770442,50.04823814132328,50.43407440185547,829700,0.0,0.0
2015-03-20 00:00:00-04:00,50.53512181514145,51.22411186272922,50.53512181514145,51.13224792480469,1366700,0.0,0.0
2015-03-23 00:00:00-04:00,51.20573260920936,51.619123759420816,50.994439282339734,51.00362777709961,685700,0.0,0.0
2015-03-24 00:00:00-04:00,50.89340671530982,51.067949623579125,50.70048681161891,50.8658447265625,677500,0.0,0.0
2015-03-25 00:00:00-04:00,50.86582479295308,50.93013023418794,50.176834918822045,50.2227668762207,827600,0.0,0.0
2015-03-26 00:00:00-04:00,50.1492886747318,50.51675143229846,49.956372303982356,50.305458068847656,895200,0.0,0.0
2015-03-27 00:00:00-04:00,50.24114036005691,50.36975474691036,49.93798663771879,50.2227668762207,638200,0.0,0.0
2015-03-30 00:00:00-04:00,50.39732681305793,50.76478607573779,50.27790088810426,50.72804260253906,560000,0.0,0.0
2015-03-31 00:00:00-04:00,50.42873572277434,50.6681728925554,50.13404652379178,50.576080322265625,717300,0.135,0.0
2015-04-01 00:00:00-04:00,50.51164807186432,50.68662230559444,50.22616971236697,50.63136672973633,577700,0.0,0.0
2015-04-02 00:00:00-04:00,50.603715868822874,50.9260311207435,50.54846032007672,50.751060485839844,525400,0.0,0.0
